,tweet_created,tweet_id,full_text,cleaned_text,sentiment_confidence,sentiment,sentiment_encoded
39,2015-08-07 09:54:33 -0700,6.296971466446234e+17,RT @itsashlyperez: listening to fetty wap while packing because i'm a true american #GOPDebate #doesthishashtagexpire?,listening to fetty wap while packing because i am a true american gopdebate doesthishashtagexpire,0.6632,Neutral,2
40,2015-08-07 09:54:33 -0700,6.296971464853504e+17,RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate,trump is a cross between the shrug emoji and president business from the lego movie gopdebate,0.6559,Negative,0
41,2015-08-07 09:54:33 -0700,6.29697e+17,"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq",meanwhile in the white house gopdebate ,0.6596,Negative,0
42,2015-08-07 09:54:33 -0700,6.296971458560942e+17,"RT @RowdyGentleman: If you’re planning out a #GOPDebate drinking game right now, you’re a Rowdy Gentleman.",if you are planning out a gopdebate drinking game right now you are a rowdy gentleman,0.3261,Neutral,2
44,2015-08-07 09:54:32 -0700,6.296971408021258e+17,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",trump thinks criticism of his misogynistic remarks is a political correctness problem nope it is a pervasive sexism problem gopdebate,1.0,Negative,0
45,2015-08-07 09:54:32 -0700,6.296971406257807e+17,"RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter 

http://t.co/8ZGdY6lPCT",how the gopdebate handled blacklivesmatter ,0.6591,Negative,0
46,2015-08-07 09:54:31 -0700,6.296971396570767e+17,RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,the goal of foxnews last night was to take out trump and pave the way for a rino like bush or kasich gopdebate,0.3407,Neutral,2
47,2015-08-07 09:54:31 -0700,6.296971356724306e+17,RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq http…,from our live chat room gopdebate trump futures $spy nonfarmpayrolls jobs netflix   http…,0.6524,Neutral,2
48,2015-08-07 09:54:30 -0700,6.29697e+17,“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks, gopdebate w delivered the highest ratings in the history of presidential debates trump2016 fox say thanks,0.6353,Positive,4
49,2015-08-07 09:54:28 -0700,6.296971246162739e+17,"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers",mosttweeted gopdebate moment saying purpose of military to kill peoplebreak things re trans servicemembers,0.6458,Negative,0
50,2015-08-07 09:54:27 -0700,6.296971223094354e+17,RT @ariannahuff: The best and worst from the #GOPDebate http://t.co/YkI30j7hhO,the best and worst from the gopdebate ,0.6327,Neutral,2
51,2015-08-07 09:54:26 -0700,6.296971187484713e+17,"RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…", big moments were vs and reaction to women question kellyfil…,0.6397,Positive,4
52,2015-08-07 09:54:26 -0700,6.296971163030282e+17,"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…",heres a question why in the hell are women  our body parts even in this debate foh stop it it is not 1965 wtf gopdebate…,1.0,Negative,0
53,2015-08-07 09:54:26 -0700,6.296971159003914e+17,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate,americans getting beheaded overseas and is worried whether calls rosie odonnell fat gopdebate,0.6633,Negative,0
54,2015-08-07 09:54:26 -0700,6.29697115887829e+17,"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",i will not defend they were far from fair or balanced last night but name calling is juvenile gopdebate,0.6957,Negative,0
55,2015-08-07 09:54:25 -0700,6.296971136565862e+17,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…",to nonchristians gopdebate god questions underline how little anyone really cares about religious minorities chri…,1.0,Negative,0
56,2015-08-07 09:54:25 -0700,6.296971117942866e+17,RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h,the gopdebate response to blacklivesmatter was pathetic ,1.0,Negative,0
57,2015-08-07 09:54:25 -0700,6.296971104856637e+17,RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…, said he cut fl taxes by $19b but that includes cuts in estate taxes mandated by federal law gopdebate ht…,0.6611,Negative,0
58,2015-08-07 09:54:24 -0700,6.296971098816963e+17,"RT @mydaughtersarmy: Dear GOP,
If you want to stop abortions... 

#GOPDebate 
http://t.co/RbL1t4iPx6",dear gop if you want to stop abortions gopdebate ,0.6667,Negative,0
59,2015-08-07 09:54:24 -0700,6.296971075663094e+17,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the US󾓦

#GOPDebate #WakeUpAmerica #CruzCrew htt…",join isis and sign your death warrant signed next president of the us󾓦 gopdebate wakeupamerica cruzcrew htt…,0.3659,Positive,4
61,2015-08-07 09:54:23 -0700,6.296971058383831e+17,"RT @AmyMek: Status 👉 Single 

I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.

#GOPDebate http://t.…",status :backhand_index_pointing_right: single i broke up with last night goodbye  chris wallace gopdebate …,1.0,Negative,0
62,2015-08-07 09:54:23 -0700,6.296971053602406e+17,"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.

After, only 3 saw him positively.  http://…",before the gopdebate 14 focus groupers said they had favorable view of trump after only 3 saw him positively http…,0.6693,Positive,4
63,2015-08-07 09:54:23 -0700,6.296971053181174e+17,"RT @_Holly_Renee: Just made my first donation to @CarlyFiorina.
So impressed by her #GOPDebate performance.
#Fiorina http://t.co/JLfhFvZ7ST",just made my first donation to so impressed by her gopdebate performance fiorina ,0.7065,Positive,4
64,2015-08-07 09:54:23 -0700,6.296971029820662e+17,RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate,if we want to stop sending foreign aid to places that burn our flag can we start with berkeley gopdebate,1.0,Negative,0
65,2015-08-07 09:54:22 -0700,6.296971010441585e+17,RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD,the rand paul eye roll to chris christie at the gopdebate ,0.6559,Neutral,2
66,2015-08-07 09:54:22 -0700,6.296970983180206e+17,RT @JohnKasich: Scrap the President's Iran deal. Iran can’t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF,scrap the presidents iran deal iran can not get a nuke kasich4us gopdebate ,1.0,Neutral,2
67,2015-08-07 09:54:22 -0700,6.296970981711872e+17,Trying to decide if it's too early to come back to Twitter fulltime. Was gonna wait closer to election but the #GOPDebate may have me hooked,trying to decide if it is too early to come back to twitter fulltime was going to wait closer to election but the gopdebate may have me hooked,0.6983,Neutral,2
68,2015-08-07 09:54:22 -0700,6.296970979739197e+17,"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.

And they vote. 

That should scare eve…",donald trumps campaign reveals 1 important thing twitter trolls are real people and they vote that should scare eve…,0.3508,Positive,4
69,2015-08-07 09:54:21 -0700,6.296970978859459e+17,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:…",those saying do not worry trump will never be elected need to remember we elected george bush twice gopdebate http…,1.0,Negative,0
70,2015-08-07 09:54:21 -0700,6.296970974791557e+17,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7",fox news had its own gopdebate agenda promote carly never mention fired from hp fiorina  run trump out of race ,1.0,Negative,0
71,2015-08-07 09:54:21 -0700,6.296970973699236e+17,"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…",oh one more thing did anyone hear anything about affordable child care for working families last night in the gopdebate  i…,0.6667,Negative,0
73,2015-08-07 09:54:21 -0700,6.296970938804142e+17,@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.,gopdebate bill and martha were the a team in the first debate 2nd debate was an ambush,0.337,Positive,4
74,2015-08-07 09:54:20 -0700,6.296970914435318e+17,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",the countrys going to hell and megyn kelly on foxnews is attacking trump for a war on women gopdebate,1.0,Negative,0
75,2015-08-07 09:54:19 -0700,6.296970885830042e+17,"RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c…",1st gopdebateencouraging to see several candidates express their faith in god and his son jesus christ …,0.6735,Positive,4
76,2015-08-07 09:54:19 -0700,6.296970872197079e+17,"RT @SnarkyDemo: #DonaldTrump said he’s not “politically correct.”  Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…",donaldtrump said he is not politically correct which of course is trumpspeak for let us face it i am huge asshole …,0.6333,Negative,0
77,2015-08-07 09:54:19 -0700,6.296970861459825e+17,RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN,a message to the gopdebate candidates ,0.618,Negative,0
78,2015-08-07 09:54:17 -0700,6.296970806304686e+17,RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate,this is the worst episode of the apprentice that i have ever seen gopdebate,1.0,Negative,0
79,2015-08-07 09:54:17 -0700,6.296970774344499e+17,"RT @GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate
htt…",luntz as the lines go up they almost reach 100 it almost never happens in the dial research we do gopdebate htt…,0.6691,Neutral,2
80,2015-08-07 09:54:16 -0700,6.296970764698911e+17,"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …",the purpose of the military is to kill people and break things  something an actual man running for president just said …,0.6239,Negative,0
81,2015-08-07 09:54:15 -0700,6.296970711137198e+17,Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.,wondering if i could get the republican party to pay for my liver transplant after playing gopdebate drinking game last night,0.6211,Negative,0
82,2015-08-07 09:54:15 -0700,6.29697070757249e+17,RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY,great way to start friday carlyfiorina gopdebate ,0.6667,Positive,4
83,2015-08-07 09:54:14 -0700,6.296970650570424e+17,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…",if elected on my first day as president i will rescind every illegal and unconstitutional executive order enacted by pres oba…,0.6977,Positive,4
85,2015-08-07 09:54:13 -0700,6.296970615506248e+17,RT @bruneski: Was upstairs putting the kids to bed. How many questions about climate change did I miss? #GOPDebate #GOPClownCar,was upstairs putting the kids to bed how many questions about climate change did i miss gopdebate gopclowncar,0.6626,Neutral,2
86,2015-08-07 09:54:11 -0700,6.296970537409126e+17,"They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP 
http://t.co/ekXPfKtHQn",they are all todd akin now how the planned parenthood sting backfired on republicans gopdebate standwithpp ,0.6889,Negative,0
87,2015-08-07 09:54:11 -0700,6.296970533171732e+17,RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…,hey let republicans digest gopdebate before allowing crazy to trash our gop http…,0.6629,Negative,0
88,2015-08-07 09:54:11 -0700,6.296970523441234e+17,RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t…,watch donald trump receive enormous applause for horribly misogynistic gopdebate answer  …,1.0,Negative,0
89,2015-08-07 09:54:11 -0700,6.296970520798822e+17,A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8,a few of my favorite twitter responses to the gopdebate last night  ,1.0,Neutral,2
90,2015-08-07 09:54:09 -0700,6.296970460442378e+17,"Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate",even though she is a super conservative reporter i actually like megyn kellys interview style  she did great at the gopdebate,0.6591,Positive,4
91,2015-08-07 09:54:09 -0700,6.29697045742252e+17,RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…,the gopdebate is not a debate at all it is a series of 1 minute opportunities to avoid answering a question one candidate…,0.6667,Negative,0
92,2015-08-07 09:54:07 -0700,6.296970363639357e+17,RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR,credit for this joke goes to someone else but it is funny gopdebate ,0.3474,Positive,4
93,2015-08-07 09:54:07 -0700,6.296970362589143e+17,RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i…,simply incredible  last nights gopdebate doubled the previous record for mostwatched primary debate i…,1.0,Positive,4
94,2015-08-07 09:54:06 -0700,6.296970346945659e+17,"RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X…",this literally could not be more true for me i watched the gopdebate  all i got was a lousy hangover …,1.0,Negative,0
95,2015-08-07 09:54:06 -0700,6.296970308693729e+17,RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj,haha a little saas from this morning towards factchecked gopdebate ,0.6659,Negative,0
97,2015-08-07 09:54:05 -0700,6.296970269559398e+17,RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw,what people saw in person vs what we saw on tv gopdebate ,1.0,Negative,0
98,2015-08-07 09:54:05 -0700,6.296970269056532e+17,RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht…,marco rubio told to his face he is candidate of yesterday for his antigay bigotry  gopdebate ht…,0.6734,Negative,0
99,2015-08-07 09:54:04 -0700,6.296970260541727e+17,"RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai…",none of them have made trump look out of place or foolish yet think about that when you are done crying think about it agai…,0.6264,Negative,0
100,2015-08-07 09:54:04 -0700,6.296970258025267e+17,"RT @akbarjenkins: Maybe the GOP just got Piven &amp; Cloward confused with Pinkard &amp; Bowden? ""She thinks I steal cars..."" @kevinbaker @KevinMKr…",maybe the gop just got piven  cloward confused with pinkard  bowden she thinks i steal cars,0.6552,Neutral,2
101,2015-08-07 09:54:04 -0700,6.296970238773412e+17,Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP,had a great time watching the gopdebate last night ,1.0,Positive,4
102,2015-08-07 09:54:04 -0700,6.296970236635464e+17,"RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him …",gopdebate donald trump says that he does not have time for political correctness how does calling women fat pigs save him …,1.0,Negative,0
103,2015-08-07 09:54:04 -0700,6.296970228664934e+17,RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co…,this is the we have now one of the people on tv now might be the next one rip everything gopdebate …,1.0,Negative,0
104,2015-08-07 09:54:03 -0700,6.296970207233761e+17,I think @realDonaldTrump was caught by surprise by that first question and was never able to recover his equilibrium. #GOPDebate,i think was caught by surprise by that first question and was never able to recover his equilibrium gopdebate,0.7027,Neutral,2
105,2015-08-07 09:54:02 -0700,6.296970149225267e+17,"RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebate” … Why am I not surprised? http://t.co/tkpEsoOEZT", web stream and mobile app fail during gopdebate … why am i not surprised ,1.0,Negative,0
106,2015-08-07 09:54:02 -0700,6.296970145577697e+17,"RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C",john kasich helped ohioans create 350000 new jobs he can do it for america gopdebate ,1.0,Positive,4
107,2015-08-07 09:54:02 -0700,6.296970144948224e+17,Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate,please help the maryknoll sisters replace windows in their convent  catholic gofundme trcot gopdebate,0.3297,Positive,4
108,2015-08-07 09:54:02 -0700,6.29697014356312e+17,"RT @CarlyFiorina: At #GOPDebate, I won over our largest audience yet. Can you chip in $3 to help us keep it up?https://t.co/nzYnC1JRxS
http…",at gopdebate i won over our largest audience yet can you chip in $3 to help us keep it up http…,0.6557,Neutral,2
109,2015-08-07 09:54:01 -0700,6.296970125107896e+17,Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate,trump just said is a true gentleman  then they started violently 69ing gopdebate,0.6882,Negative,0
110,2015-08-07 09:53:59 -0700,6.296970028303278e+17,RT @cameronesposito: Ugh will these guys ever shut up about how much they respect women? #GOPDebate,ugh will these guys ever shut up about how much they respect women gopdebate,1.0,Negative,0
111,2015-08-07 09:53:59 -0700,6.296970018405089e+17,"RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably won’t be safe, except if we’re attacked …",what did the gopdebate teach us about a future president trump america probably will not be safe except if we are attacked …,1.0,Negative,0
112,2015-08-07 09:53:56 -0700,6.296969922858312e+17,"RT @congoboy: This is going to be a long, tiring election season. 
""shockingly ill-informed"" candidates at #GOPDebate
http://t.co/vTK1k0tXi…",this is going to be a long tiring election season shockingly i willinformed candidates at gopdebate …,1.0,Negative,0
